height,reach,sig_strikes_landed_pm,sig_strikes_accuracy,sig_strikes_absorbed_pm,sig_strikes_defended,takedown_avg_per15m,takedown_accuracy,takedown_defence,submission_avg_attempted_per15m,curr_weight,age,fighter_name
170.18,185.42,3.74,0.39,4.41,0.45,1.37,0.27,0.68,0.3,56.699,33.177275838466805,Ode Osbourne
180.34,177.8,7.35,0.6,7.5,0.53,0.13,0.25,0.75,0.0,70.30676,36.328542094455855,Justin Gaethje
175.26,182.88,5.49,0.5,4.3,0.53,1.36,0.36,0.63,1.2,70.30676,36.14784394250513,Dustin Poirier
193.04,200.66,5.11,0.62,3.7,0.51,0.22,1.0,0.7,0.2,92.98636,37.686516084873375,Alex Pereira
187.96,198.12,3.41,0.5,2.91,0.53,1.09,0.5,0.68,0.3,92.98636,42.050650239561946,Jan Blachowicz
190.5,200.66,2.6,0.5,2.59,0.41,0.59,0.28,0.52,0.0,117.93392,40.09582477754962,Derrick Lewis
185.42,190.5,3.61,0.56,2.96,0.51,1.34,0.47,0.59,0.5,114.758776,39.71800136892539,Marcos Rogerio de Lima
177.8,180.34,6.14,0.52,3.67,0.62,1.21,0.37,0.74,0.3,70.30676,38.510609171800134,Bobby Green
180.34,193.04,4.98,0.45,4.26,0.56,0.42,0.35,0.66,0.9,70.30676,41.08418891170431,Tony Ferguson
185.42,190.5,1.87,0.4,1.7,0.54,3.33,0.5,0.6,1.0,77.11064,37.267624914442166,Michael Chiesa
185.42,182.88,6.08,0.37,4.8,0.66,4.8,1.0,1.0,7.2,77.11064,27.564681724845997,Gabriel Bonfim
182.88,187.96,2.97,0.53,2.09,0.59,1.27,0.55,0.71,0.3,77.11064,32.602327173169066,Trevin Giles
167.64,172.72,6.01,0.57,5.01,0.53,0.0,0.0,0.74,0.2,56.699,33.738535249828885,CJ Vergara
170.18,177.8,5.44,0.42,6.05,0.49,0.38,0.11,0.86,0.0,56.699,28.637919233401778,Vinicius Salvador
185.42,195.58,4.65,0.57,3.34,0.31,0.76,0.5,0.75,0.0,83.91452,32.6570841889117,Claudio Ribeiro
180.34,185.42,3.27,0.45,2.33,0.6,1.71,0.41,0.61,0.7,77.11064,30.56810403832991,Jake Matthews
175.26,180.34,4.19,0.56,7.02,0.4,1.7,0.33,1.0,0.0,77.11064,30.55167693360712,Darrius Flowers
185.42,180.34,6.97,0.61,3.92,0.58,0.53,1.0,0.8,0.0,77.11064,31.88501026694045,Uros Medic
185.42,190.5,4.06,0.43,4.36,0.55,1.02,0.58,0.5,0.1,77.11064,32.303901437371664,Matthew Semelsberger
160.02,165.1,3.71,0.46,2.62,0.59,2.41,0.48,0.42,0.5,56.699,27.701574264202602,Miranda Maverick
170.18,165.1,4.12,0.43,7.13,0.45,0.18,0.33,0.65,0.0,56.699,36.56673511293634,Priscila Cachoeira
195.58,198.12,7.65,0.66,2.9,0.65,3.7,1.0,1.0,1.9,116.119552,31.923340177960302,Tom Aspinall
190.5,198.12,3.55,0.48,3.35,0.55,1.39,0.33,0.79,0.1,112.944408,39.3429158110883,Marcin Tybura
170.18,167.64,2.81,0.4,4.56,0.44,0.91,0.3,0.62,1.4,56.699,31.9315537303217,Julija Stoliarenko
162.56,157.48,5.68,0.49,4.9,0.63,1.65,0.35,0.43,0.5,56.699,34.861054072553046,Molly McCann
167.64,175.26,6.24,0.49,4.35,0.57,1.7,0.54,0.76,0.5,65.77083999999999,31.849418206707735,Nathaniel Wood
180.34,187.96,3.83,0.37,4.13,0.51,2.22,0.47,0.69,0.3,65.77083999999999,34.718685831622174,Andre Fili
190.5,193.04,2.57,0.46,2.85,0.46,1.91,0.23,0.42,1.7,83.91452,37.295003422313485,Paul Craig
185.42,198.12,2.17,0.5,2.03,0.53,2.97,0.4,0.35,1.5,83.91452,35.069130732375086,Andre Muniz
185.42,190.5,2.82,0.47,2.01,0.65,0.97,0.23,0.75,0.0,70.30676,27.980835044490075,Fares Ziam
185.42,195.58,2.69,0.41,3.15,0.45,0.2,0.1,0.57,0.0,70.30676,36.83504449007529,Jai Herbert
175.26,185.42,3.65,0.5,2.4,0.56,1.29,0.46,0.46,0.9,65.77083999999999,33.64544832306639,Lerone Murphy
177.8,185.42,2.68,0.42,3.29,0.56,0.0,0.0,0.72,0.4,65.77083999999999,30.806297056810404,Josh Culibao
170.18,175.26,4.88,0.46,3.7,0.69,0.4,0.5,0.89,0.0,61.23492,32.01916495550992,Daniel Marcos
172.72,175.26,4.77,0.42,3.82,0.55,1.26,0.41,0.61,0.2,61.23492,39.23613963039014,Davey Grant
175.26,175.26,4.65,0.44,4.89,0.6,0.0,0.0,0.66,0.0,77.11064,33.51950718685831,Jonny Parsons
185.42,187.96,3.18,0.39,3.73,0.5,0.24,0.09,0.57,0.2,77.11064,37.667351129363446,Danny Roberts
190.5,195.58,3.65,0.46,3.37,0.5,0.0,0.0,0.11,1.3,70.30676,32.03285420944559,Joel Alvarez
177.8,185.42,2.69,0.4,2.73,0.53,3.32,0.44,0.68,0.0,70.30676,31.994524298425734,Marc Diakiese
193.04,200.66,6.02,0.6,3.07,0.67,1.77,1.0,0.33,0.9,120.20188,29.44832306639288,Mick Parkin
190.5,195.58,3.12,0.42,4.25,0.52,3.0,0.48,0.66,0.0,92.98636,29.284052019164957,Jamal Pogues
187.96,190.5,4.21,0.43,2.56,0.61,3.04,0.66,0.77,0.2,83.91452,35.09377138945928,Makhmud Muradov
182.88,182.88,5.53,0.48,4.74,0.44,0.14,0.22,0.49,0.3,77.11064,35.8631074606434,Bryan Barberena
172.72,172.72,3.04,0.41,3.92,0.51,1.51,0.44,0.92,0.6,61.23492,33.549623545516766,Ketlen Vieira
170.18,167.64,4.87,0.49,3.75,0.53,0.35,0.3,0.71,0.1,61.23492,33.26488706365503,Pannie Kianzad
177.8,180.34,5.08,0.46,3.74,0.49,3.63,0.39,1.0,0.0,70.30676,31.84394250513347,Chris Duncan
175.26,172.72,3.08,0.42,5.35,0.59,0.92,0.5,0.5,0.0,70.30676,29.95482546201232,Yanal Ashmouz
167.64,165.1,3.44,0.68,3.94,0.53,1.86,0.66,0.53,0.0,52.16308,31.515400410677618,Bruna Brasil
165.1,165.1,3.6,0.37,3.73,0.37,0.0,0.0,0.33,0.0,52.16308,31.38945927446954,Shauna Bannon
170.18,172.72,2.0,0.37,2.31,0.45,1.53,0.27,0.55,2.0,56.699,31.857631759069132,Jafel Filho
167.64,167.64,3.8,0.53,5.32,0.55,4.07,0.31,0.91,1.6,56.699,36.257357973990416,Daniel Barez
167.64,167.64,4.16,0.54,4.71,0.57,0.35,0.5,0.68,1.6,61.23492,33.5605749486653,Mayra Bueno Silva
